C6H6(GT),PT08.S2(NMHC),CO
11.4,1027,2.1
1.3,525,0.5
0.8,480,0.7
9.2,947,1.9
14.8,1143,3.0
16.9,1208,2.2
3.5,684,1.0
1.4,535,0.5
8.5,919,1.7
15.6,1168,2.8
9.1,943,1.9
19.2,1275,4.4
4.4,731,1.1
8.0,899,1.4
3.4,677,0.5
5.4,783,1.6
6.5,835,1.0
14.1,1120,2.2
4.3,729,0.8
10.1,982,2.2
8.4,917,2.4
19.7,1289,4.3
2.6,626,0.8
17.4,1222,3.4
5.7,796,1.9
5.5,790,1.2
7.6,882,2.1
18.8,1263,4.5
3.9,705,0.8
7.0,858,1.6
9.7,968,2.3
6.4,832,1.7
14.0,1118,2.6
13.7,1108,3.2
8.5,919,2.6
10.1,981,1.7
13.4,1096,2.8
18.5,1255,3.8
19.1,1271,3.5
2.0,587,0.7
8.5,919,1.6
50.8,1983,9.9
15.4,1160,3.1
10.6,1000,2.3
4.5,736,1.3
10.1,983,1.8
1.6,554,1.1
14.8,1142,5.0
5.6,791,0.7
10.4,994,1.6
5.1,767,0.8
7.8,890,2.2
14.5,1132,3.5
3.3,670,0.7
9.2,946,1.7
1.3,529,0.4
1.8,567,0.7
7.5,879,1.5
18.5,1255,4.2
17.8,1233,4.0
9.1,945,2.0
19.6,1286,3.4
14.5,1132,2.5
10.4,994,1.8
1.1,511,0.7
9.8,969,2.3
10.3,990,2.5
24.0,1404,5.0
8.5,919,1.0
13.9,1113,2.9
3.5,681,0.9
1.7,561,0.7
1.1,509,0.5
10.4,991,2.8
9.4,954,1.8
6.0,810,2.2
7.2,865,1.1
9.7,965,1.5
11.0,1016,2.0
33.2,1624,7.3
13.5,1101,2.6
2.9,649,1.1
19.6,1286,2.8
19.3,1277,3.3
4.0,709,1.1
5.0,766,1.5
34.0,1643,6.3
8.4,914,1.9
10.1,980,1.8
7.2,866,1.2
2.4,616,0.6
10.4,994,2.7
8.0,897,1.9
0.8,474,0.5
36.2,1690,7.2
6.7,844,1.3
15.4,1162,2.7
2.0,585,0.9
16.9,1206,3.3
11.7,1039,1.9
8.5,919,0.9
2.3,607,0.4
18.4,1251,3.4
13.2,1090,3.2
32.4,1605,6.7
7.4,872,2.5
12.9,1082,2.6
15.1,1152,2.8
6.4,831,1.1
8.5,919,1.8
14.5,1134,3.0
8.6,924,1.6
10.9,1012,2.6
7.5,879,1.5
15.7,1170,2.4
6.7,844,1.2
1.9,574,0.6
5.5,786,1.3
5.8,805,1.1
8.7,928,2.3
4.8,751,0.5
3.1,658,1.0
6.7,843,2.1
4.3,726,1.5
7.7,887,1.0
25.0,1430,4.5
10.2,984,2.1
3.5,682,1.1
5.4,783,1.4
26.5,1466,5.6
1.1,505,0.6
10.2,985,3.2
14.6,1136,3.0
2.0,582,0.7
4.0,710,0.9
4.3,727,1.6
11.2,1023,2.7
2.1,590,0.9
2.4,613,0.8
1.2,518,0.6
1.9,580,0.8
8.3,910,1.8
3.8,698,0.6
5.1,768,1.2
2.9,644,0.6
14.9,1145,3.8
6.2,821,2.5
5.3,779,1.8
9.9,975,1.6
8.0,898,2.0
10.6,1000,1.4
12.1,1053,3.0
4.5,739,0.9
7.6,883,1.8
27.9,1501,4.8
10.6,1000,2.3
22.4,1362,4.8
7.5,880,1.1
16.8,1203,4.1
3.9,704,0.4
7.5,877,2.1
17.8,1233,3.2
16.5,1194,3.3
7.1,861,3.6
5.1,771,0.8
25.5,1441,3.8
11.9,1047,2.1
8.9,937,1.3
5.9,806,1.4
3.9,703,0.7
3.6,687,1.1
2.1,591,0.6
2.9,644,0.8
5.7,798,1.5
8.5,919,0.9
10.7,1004,1.9
2.9,648,0.9
8.8,930,2.7
23.4,1388,3.6
28.3,1511,6.3
6.1,815,1.7
4.7,747,0.7
13.7,1107,2.2
2.7,633,0.8
5.0,765,1.1
1.6,551,0.8
6.2,822,0.8
10.1,980,2.3
13.4,1097,2.5
10.7,1004,2.2
12.1,1053,2.1
3.3,672,1.0
10.3,991,2.1
3.7,694,1.0
6.7,843,1.6
9.6,962,1.3
3.0,651,0.8
2.8,639,0.4
7.9,894,1.8
5.2,772,2.3
13.6,1104,2.6
3.5,681,0.5
20.9,1322,3.2
8.3,912,1.9
10.0,976,2.2
5.4,785,0.9
0.3,409,0.3
6.3,826,1.2
6.7,844,1.9
14.0,1117,3.1
14.2,1122,2.7
5.8,804,0.9
19.4,1279,3.9
11.0,1015,2.1
12.5,1066,2.8
1.1,509,0.4
6.9,854,2.9
5.0,764,0.7
11.8,1043,3.0
7.5,880,1.1
7.6,881,1.0
7.1,861,1.9
9.4,957,2.0
8.5,919,3.1
14.9,1144,3.5
2.1,591,0.8
8.5,919,0.7
7.4,872,1.8
7.6,882,2.3
9.1,945,1.6
4.4,732,0.8
17.2,1217,2.9
4.3,725,1.3
14.3,1125,1.4
3.4,675,0.3
14.5,1132,3.8
29.8,1547,8.3
18.7,1261,3.3
20.3,1305,3.4
14.6,1136,2.8
22.0,1350,4.4
2.7,634,1.0
3.2,667,0.9
3.7,693,0.7
7.3,871,1.8
3.6,685,1.3
9.6,963,2.5
5.2,772,1.2
10.6,998,2.3
10.6,1000,2.6
13.8,1109,2.2
6.5,836,1.8
11.5,1031,2.9
18.4,1252,3.2
25.2,1434,4.6
23.8,1398,4.0
15.5,1166,2.2
9.0,940,2.5
3.0,655,0.9
26.9,1477,5.5
10.1,980,2.3
8.2,906,2.4
19.4,1280,4.3
27.5,1491,4.6
8.6,925,1.9
4.6,745,0.5
5.3,777,2.2
4.8,752,1.2
12.6,1070,2.8
1.3,527,0.4
6.1,816,0.8
5.3,780,0.4
7.7,888,1.9
9.0,938,1.7
15.0,1148,3.0
19.4,1280,4.0
2.8,638,0.7
1.2,522,0.2
14.1,1121,2.8
14.4,1130,2.9
8.8,931,1.7
7.0,857,1.6
14.6,1136,4.8
11.2,1022,2.7
8.5,919,1.0
35.1,1667,6.7
6.3,824,1.6
1.4,537,0.5
10.1,980,2.2
0.8,477,0.3
10.5,997,1.8
10.6,1000,1.5
12.9,1080,4.3
2.4,616,0.1
8.8,932,2.0
7.7,886,1.2
18.4,1250,3.1
15.1,1153,2.1
7.9,893,1.4
7.4,875,1.9
14.0,1118,3.5
2.5,618,0.7
18.8,1262,4.3
15.6,1166,3.2
5.0,766,2.9
7.5,880,1.6
12.4,1064,2.2
8.5,919,7.4
9.5,959,2.0
4.1,718,0.8
13.0,1083,3.9
10.7,1004,2.0
22.1,1353,3.7
5.8,804,0.7
6.8,850,1.5
13.1,1086,2.6
10.3,988,2.0
11.7,1038,2.1
0.7,464,0.6
3.3,668,0.8
14.4,1130,2.6
4.8,753,0.8
11.6,1037,1.3
11.5,1032,3.0
19.7,1287,3.1
5.2,771,1.4
1.3,526,0.6
8.3,912,2.3
6.4,831,1.1
8.6,924,1.7
2.2,599,0.4
11.2,1023,3.3
8.5,919,3.6
4.1,717,0.9
6.7,842,1.6
8.5,918,1.6
2.4,609,0.4
8.4,914,1.7
15.6,1168,3.1
2.7,630,0.4
11.9,1046,2.3
6.6,838,1.3
10.4,992,1.3
4.5,740,1.1
13.6,1105,2.6
14.8,1143,3.4
3.0,651,1.0
3.8,701,1.4
3.2,663,1.0
11.7,1039,2.7
14.1,1118,2.2
5.3,777,1.2
15.0,1148,3.4
22.9,1374,4.3
12.3,1061,2.4
15.3,1159,3.3
23.3,1384,5.1
10.1,982,1.7
20.9,1323,4.2
7.0,858,1.3
9.4,956,3.1
4.9,759,1.3
3.4,677,0.6
11.5,1031,1.9
2.5,622,0.1
7.5,880,1.9
8.5,919,3.5
9.9,972,2.0
6.8,850,1.8
16.4,1191,3.3
6.6,839,1.6
3.4,674,0.6
3.0,653,1.2
6.5,836,1.9
1.4,534,0.5
5.1,767,0.8
2.4,616,0.6
4.4,732,0.5
17.1,1214,3.0
18.0,1239,2.3
7.6,884,1.7
6.6,838,1.6
13.4,1097,2.0
7.6,884,1.0
11.2,1023,1.8
2.6,624,0.3
3.2,665,1.0
8.2,907,2.3
6.3,826,1.1
6.0,810,0.9
10.5,996,2.3
7.1,862,0.9
17.6,1227,3.6
3.7,697,0.7
15.6,1168,2.8
1.0,503,0.6
7.2,866,2.1
14.2,1124,3.4
6.0,814,0.5
8.8,930,1.3
6.9,853,2.1
11.7,1041,2.1
20.7,1316,3.2
6.8,846,1.2
7.6,881,1.8
15.0,1148,2.1
12.9,1080,2.2
18.8,1263,6.5
11.5,1031,2.3
19.8,1291,4.0
3.1,661,1.2
1.4,540,0.8
12.1,1054,3.3
2.0,581,0.4
7.7,887,1.8
13.4,1098,2.7
10.0,978,2.4
6.2,823,1.6
11.6,1035,2.3
11.2,1020,2.9
7.1,860,1.3
7.0,858,1.4
3.5,680,1.1
4.3,726,1.6
1.6,551,0.5
6.6,837,0.9
10.1,983,2.2
3.1,659,0.3
4.9,758,1.0
27.7,1496,3.9
6.2,820,1.6
8.6,924,1.9
26.4,1465,4.5
2.7,634,0.2
10.5,997,2.9
2.7,636,0.8
5.0,764,1.7
29.8,1547,5.0
9.2,946,2.0
1.8,569,0.6
2.8,641,0.5
9.3,950,2.0
15.6,1167,3.0
9.8,970,2.5
7.4,876,1.6
3.6,686,1.0
19.6,1285,5.6
12.8,1078,2.5
1.4,535,0.4
17.4,1223,3.6
4.6,746,2.0
10.3,989,1.8
19.3,1278,4.0
7.0,856,1.4
3.7,691,1.2
11.9,1045,2.0
14.7,1140,3.4
8.5,919,3.7
19.1,1273,3.5
16.5,1194,2.4
15.3,1158,3.2
4.0,709,1.0
10.1,981,2.6
8.3,913,1.7
25.1,1432,4.9
30.9,1573,5.3
10.5,995,2.1
4.5,740,1.0
1.0,497,0.6
20.3,1305,4.3
17.1,1214,2.4
8.5,919,1.2
3.0,652,0.4
20.2,1301,3.8
4.3,727,1.1
13.0,1083,2.6
9.7,965,2.8
3.5,685,1.3
3.9,708,1.6
7.3,868,1.4
7.1,863,2.0
7.5,880,1.6
7.4,873,1.9
8.5,919,2.5
1.6,556,0.6
14.4,1130,2.5
12.4,1063,2.7
5.1,770,1.4
8.7,928,1.5
3.8,699,1.1
1.7,563,0.5
24.5,1418,4.2
17.7,1229,4.1
4.9,757,0.7
2.4,613,1.0
18.3,1249,3.8
13.7,1106,2.7
17.5,1226,3.4
10.3,989,2.2
6.1,817,1.6
19.3,1278,3.8
10.8,1008,1.7
4.3,728,1.0
12.5,1068,2.1
4.4,734,1.5
6.5,834,1.5
26.8,1474,5.7
12.6,1071,2.0
7.3,871,1.2
2.4,609,0.3
14.0,1116,3.1
23.4,1387,5.1
8.8,931,1.9
5.1,770,1.3
0.5,443,0.4
9.1,945,2.5
8.6,924,2.4
28.9,1524,4.8
5.3,776,1.3
15.5,1164,3.0
8.2,906,2.1
14.1,1121,2.3
1.6,554,0.5
4.6,744,1.5
2.6,626,0.5
7.3,870,1.2
9.0,938,2.3
3.3,673,1.0
35.9,1684,6.2
10.2,984,2.4
17.6,1227,3.1
11.3,1024,2.0
7.0,857,1.5
10.2,985,2.3
18.0,1239,3.1
1.4,535,0.6
14.1,1120,2.5
3.7,691,1.2
13.3,1093,2.3
11.4,1030,2.5
3.5,680,1.4
5.4,783,1.4
17.2,1215,3.8
8.5,919,6.3
18.7,1258,4.1
11.1,1016,1.9
3.9,708,0.6
5.1,767,1.2
7.7,887,1.8
2.3,606,0.8
26.7,1473,5.2
6.7,843,0.4
1.3,524,0.7
12.9,1079,3.0
17.4,1221,4.2
5.9,808,1.3
10.8,1006,2.3
6.3,826,1.1
6.6,837,1.9
7.7,885,1.9
8.5,922,1.5
5.5,787,0.9
3.0,653,1.1
8.4,918,1.8
18.8,1264,3.7
37.1,1709,6.7
16.7,1200,3.8
28.0,1502,5.2
12.4,1063,2.7
5.4,781,1.4
3.7,692,0.2
11.3,1026,1.8
3.1,656,0.9
4.3,725,0.5
28.0,1503,4.4
18.3,1247,3.4
2.5,618,1.1
8.7,928,2.4
27.2,1485,5.7
3.4,679,1.1
4.3,728,1.2
8.2,909,2.1
3.7,694,1.4
7.4,875,1.3
5.1,767,1.0
8.9,935,1.4
20.2,1303,3.3
11.4,1030,3.1
10.2,985,1.9
7.5,878,1.9
7.7,885,2.4
3.0,655,0.9
0.8,479,0.5
13.0,1085,1.9
2.8,637,0.1
3.6,685,0.7
19.6,1286,4.4
13.0,1082,2.3
17.5,1225,3.8
13.9,1114,2.2
5.7,797,1.1
2.0,588,0.7
10.9,1011,2.5
6.9,853,1.6
13.8,1112,2.5
21.9,1348,4.6
30.6,1566,5.2
17.1,1214,2.8
12.0,1051,2.0
10.5,996,2.0
3.1,659,0.7
6.3,828,2.8
6.3,827,1.7
5.2,772,1.3
5.7,800,1.1
2.1,594,0.8
12.2,1058,1.9
32.3,1603,5.8
19.8,1292,4.5
6.4,829,1.0
18.9,1267,3.7
9.6,964,1.7
3.7,694,1.1
3.6,689,0.4
5.7,796,1.8
8.5,919,1.2
11.0,1014,1.7
4.6,744,1.4
2.0,583,0.7
2.5,623,1.1
12.2,1057,2.3
17.6,1228,3.4
8.4,914,2.1
7.4,875,1.6
5.2,774,1.0
14.6,1136,2.6
16.8,1203,3.4
3.8,697,0.9
7.8,891,2.2
4.6,742,1.0
5.8,805,2.0
8.5,919,3.0
3.9,703,0.7
8.5,919,4.3
8.4,917,1.5
12.1,1054,2.4
16.8,1204,2.4
8.5,919,1.4
11.0,1014,1.9
3.5,681,1.4
6.2,823,1.6
21.6,1341,4.2
9.3,952,2.4
0.9,488,0.5
8.0,901,1.3
2.2,599,1.3
2.0,583,0.5
14.7,1138,3.1
5.5,788,1.3
3.5,683,0.2
4.3,730,1.5
3.1,660,0.1
5.6,791,1.3
24.5,1416,3.5
5.7,797,1.1
0.2,402,0.3
5.9,809,0.9
5.0,761,1.4
8.5,919,2.3
3.5,683,0.7
3.6,688,0.8
6.5,833,1.2
5.4,782,1.2
8.7,928,2.0
18.2,1246,1.7
8.1,902,2.4
5.4,782,1.4
16.8,1203,4.6
7.5,877,1.9
4.7,747,1.3
10.4,994,1.9
0.7,468,0.4
7.8,891,1.8
6.7,844,1.4
19.0,1268,3.5
11.7,1038,1.9
30.8,1570,6.6
9.6,963,2.1
7.0,859,1.5
8.2,907,1.9
5.6,795,1.5
16.6,1198,3.6
30.1,1553,6.6
10.7,1004,3.3
6.3,828,1.9
4.0,713,0.6
4.5,740,0.7
6.3,826,1.7
4.2,723,2.8
2.1,594,0.7
6.8,849,2.1
15.2,1155,2.6
1.7,565,0.6
10.1,983,2.0
3.9,706,0.4
14.8,1143,4.0
7.1,859,1.5
12.5,1068,2.3
2.1,589,0.8
6.3,826,1.3
3.4,679,1.0
1.2,515,0.4
1.1,507,0.5
3.3,668,0.8
25.2,1434,4.0
0.6,455,0.3
5.3,781,1.5
23.1,1381,3.4
5.7,798,1.3
11.2,1023,2.4
14.2,1122,2.7
6.3,824,1.4
6.8,849,1.5
14.4,1129,3.5
3.4,674,1.2
10.8,1007,2.7
12.3,1059,2.4
3.5,685,1.1
19.0,1269,3.0
4.5,737,1.2
25.9,1452,4.1
25.7,1447,4.8
11.8,1041,2.1
15.0,1149,2.7
13.5,1101,2.1
9.9,972,1.3
19.5,1282,3.6
12.0,1049,2.7
21.5,1339,3.8
8.5,921,1.4
3.2,666,1.2
8.4,917,2.4
13.9,1113,2.7
5.5,789,1.6
4.0,711,0.7
8.8,931,1.6
1.5,541,0.7
24.6,1420,4.3
12.2,1057,1.9
2.0,586,0.8
8.5,919,8.6
3.0,651,0.4
8.4,914,1.6
4.1,715,1.2
9.7,967,3.6
25.0,1428,5.8
2.0,581,0.7
6.0,811,1.1
14.2,1124,3.1
3.1,659,1.1
13.1,1089,3.1
7.9,896,2.0
8.0,900,2.3
10.8,1008,2.4
2.7,633,0.7
4.6,744,0.8
13.6,1103,2.2
7.5,878,2.0
13.6,1104,3.3
2.3,609,0.9
4.6,743,1.7
17.3,1218,3.3
1.9,580,0.4
12.2,1057,3.2
18.9,1265,3.3
5.3,781,0.4
8.3,910,2.2
10.0,978,2.3
10.5,995,3.1
25.5,1443,4.7
6.3,826,1.3
6.9,851,1.6
8.2,907,2.1
4.9,760,1.5
4.2,723,0.4
3.1,657,1.3
8.5,919,3.4
3.8,697,0.3
7.3,869,1.4
5.1,767,1.6
2.9,645,0.7
6.7,845,1.4
4.1,715,1.2
15.8,1172,4.3
9.5,959,2.5
14.9,1145,3.0
9.9,973,1.9
11.2,1023,2.6
15.2,1156,2.3
8.2,907,1.0
4.2,719,1.0
2.7,631,0.5
3.8,701,0.9
2.9,648,1.0
12.3,1060,2.0
3.9,705,1.2
22.8,1372,3.7
3.7,693,1.7
20.9,1320,6.2
8.5,919,1.5
10.6,1001,1.6
10.3,989,2.5
4.1,716,0.7
2.4,613,0.5
9.6,962,1.7
0.7,466,0.4
11.9,1045,2.7
4.5,736,1.3
9.1,942,1.7
22.2,1357,4.2
0.3,408,0.2
10.3,989,2.2
15.6,1168,5.9
6.2,822,1.1
13.0,1084,2.0
2.8,637,0.7
5.8,804,1.0
6.0,812,1.5
6.9,854,1.1
3.9,704,1.3
4.4,730,1.4
16.9,1206,4.3
2.8,643,1.0
25.0,1430,4.4
25.6,1444,4.7
12.6,1072,0.7
6.0,814,1.3
5.2,774,0.9
15.4,1161,3.9
1.7,560,0.5
22.7,1370,4.2
7.9,894,1.6
7.3,868,0.8
16.3,1189,3.3
18.1,1241,3.5
2.5,621,0.5
8.5,919,1.7
14.1,1121,2.3
12.4,1063,2.8
1.2,522,0.6
9.6,964,1.8
4.6,743,1.2
13.2,1092,3.0
30.3,1559,6.8
26.5,1466,5.4
24.9,1426,5.1
8.0,899,2.3
5.5,787,1.2
3.3,672,0.2
3.8,702,0.9
2.2,598,0.8
8.5,919,1.6
5.0,763,0.9
27.9,1502,5.8
14.3,1125,3.4
1.0,496,0.5
7.5,880,1.9
8.8,933,2.2
11.0,1013,2.4
1.5,543,0.6
16.6,1198,2.7
14.4,1131,2.0
7.2,864,0.9
13.4,1096,3.3
14.2,1122,2.9
7.7,889,1.2
3.0,653,0.8
6.8,849,1.2
13.5,1101,2.6
1.6,555,0.5
8.5,919,4.2
1.6,553,0.7
14.2,1124,2.8
14.4,1129,2.3
9.1,945,1.4
15.3,1159,3.3
5.3,776,1.0
8.6,923,1.3
9.5,957,1.9
24.8,1424,4.3
8.5,920,1.6
16.3,1189,2.9
4.1,715,0.9
4.5,737,1.0
1.9,576,0.6
4.7,746,1.6
6.9,853,1.6
5.8,803,1.4
20.5,1311,4.1
4.6,744,0.9
18.3,1248,2.7
8.8,932,1.8
8.5,919,2.0
1.5,545,0.8
9.8,972,2.1
6.4,831,1.3
10.1,983,2.5
6.1,816,0.9
10.2,984,1.9
5.3,778,1.6
32.5,1608,5.6
18.4,1252,3.8
3.3,671,0.6
11.0,1013,2.4
3.9,707,1.3
6.5,835,1.3
14.3,1127,3.6
7.0,858,1.3
2.4,615,0.5
11.8,1042,1.9
21.5,1339,4.5
12.1,1053,2.2
14.7,1140,3.1
8.3,911,1.7
4.6,744,1.3
8.5,919,2.4
15.4,1161,4.1
3.9,705,1.2
29.1,1531,6.2
2.2,600,0.9
8.5,919,1.7
6.9,854,1.4
2.9,648,1.1
1.4,533,0.5
6.4,832,1.8
18.7,1261,3.3
24.0,1403,4.2
24.6,1419,4.5
7.3,870,2.0
2.0,582,0.3
14.1,1119,2.4
3.3,668,0.1
8.1,903,2.2
4.5,740,1.2
8.5,919,1.9
13.7,1107,3.1
3.5,683,1.3
4.0,712,1.7
3.3,670,1.2
5.7,797,1.4
4.1,715,0.7
10.2,985,1.9
2.5,619,0.2
8.5,919,2.1
18.7,1260,3.4
17.9,1236,3.4
13.8,1110,2.8
2.0,581,0.1
2.1,589,0.9
3.4,677,0.6
2.6,628,0.6
19.7,1287,3.7
19.3,1278,3.4
1.4,534,0.6
3.3,672,0.9
9.3,950,2.6
4.3,730,0.6
8.5,919,3.8
4.4,733,1.3
7.3,869,2.3
9.7,966,2.6
11.0,1016,1.9
11.4,1030,2.3
6.9,851,1.6
5.1,770,0.9
1.5,544,0.8
32.5,1610,6.4
6.0,810,1.5
19.9,1295,3.9
8.4,917,1.5
8.7,926,1.4
1.3,527,0.3
18.3,1249,3.8
3.8,701,1.2
2.2,598,0.6
21.7,1342,3.9
14.8,1144,3.6
29.1,1530,5.6
16.7,1202,3.4
8.5,919,3.2
6.7,846,1.1
9.2,945,1.8
2.2,599,0.6
3.6,691,1.2
3.8,700,0.9
10.9,1010,2.0
7.7,886,1.7
4.5,738,0.8
10.8,1007,1.8
3.9,706,1.3
10.4,992,1.6
9.1,943,1.9
12.1,1054,2.5
19.1,1271,4.2
8.5,919,2.7
13.6,1105,2.4
20.6,1312,4.5
3.9,707,1.1
4.7,750,0.3
8.4,914,1.7
2.2,597,0.6
13.7,1108,2.2
14.0,1117,2.3
2.5,622,0.8
6.3,826,1.3
8.5,919,1.0
7.0,859,1.3
14.5,1132,2.6
21.1,1327,3.9
7.1,859,1.5
31.4,1584,5.9
13.7,1108,3.5
8.7,929,2.3
17.3,1220,2.5
3.8,698,0.1
9.6,964,1.9
29.1,1530,6.3
20.5,1311,5.0
8.5,919,1.6
20.1,1299,4.4
2.6,628,0.9
0.5,445,0.2
15.5,1165,2.9
14.9,1144,3.1
11.8,1042,2.1
4.0,713,1.1
7.0,857,0.1
14.0,1118,2.4
4.7,749,1.5
23.1,1380,3.8
25.0,1429,4.8
6.8,849,2.3
8.5,919,1.1
3.0,651,0.1
10.4,993,1.9
25.1,1431,5.3
7.5,878,0.8
11.7,1040,2.5
20.4,1307,4.6
8.0,900,2.0
10.6,1000,2.7
14.1,1118,3.6
4.8,755,0.7
14.3,1128,2.1
8.4,916,1.2
2.4,610,0.4
7.6,882,1.2
9.6,962,1.9
5.2,776,1.5
8.5,919,1.5
12.9,1081,3.3
8.6,923,1.4
7.1,862,1.8
21.0,1325,4.1
10.3,990,1.7
2.4,612,0.5
5.8,803,1.0
3.3,671,0.1
8.5,919,6.6
18.3,1247,3.3
14.7,1139,2.7
8.2,908,1.6
22.6,1367,4.5
8.8,931,2.0
6.4,829,1.3
2.6,628,0.5
6.8,850,1.2
23.0,1377,5.0
15.7,1171,2.8
5.3,778,1.5
9.2,946,2.0
5.1,766,1.1
15.9,1177,3.6
8.5,919,1.8
6.4,829,1.6
10.5,997,1.6
11.0,1016,2.3
10.0,978,2.1
17.5,1224,2.9
23.1,1379,4.4
4.9,760,0.7
8.5,919,1.0
12.1,1054,2.8
10.8,1006,2.1
3.6,688,1.1
6.0,813,1.2
1.9,578,0.7
8.5,919,0.8
15.2,1154,2.9
17.2,1217,3.7
8.5,919,5.6
23.8,1398,4.6
3.6,690,1.2
14.0,1118,3.4
1.2,517,0.5
26.6,1470,5.0
3.9,705,0.9
4.2,721,0.7
2.1,593,0.7
4.9,758,0.7
13.8,1109,3.1
11.1,1018,1.8
3.6,687,1.0
8.5,919,0.3
8.4,915,1.3
2.7,634,0.9
24.1,1405,4.3
18.6,1256,4.3
12.7,1075,2.0
9.8,971,2.4
15.1,1151,2.2
14.3,1128,2.3
3.6,687,1.3
2.9,644,0.4
14.6,1138,3.5
3.7,694,0.8
8.5,919,1.6
8.6,924,1.6
20.1,1300,2.6
7.8,892,1.8
7.9,893,2.0
31.4,1584,5.6
2.8,641,0.6
4.6,742,1.2
20.7,1315,3.6
11.9,1046,3.1
11.9,1047,3.0
9.9,976,2.0
5.8,802,1.4
7.7,887,1.8
12.6,1070,2.2
1.0,494,0.3
8.3,912,2.1
8.3,913,2.2
21.7,1344,4.5
15.6,1168,4.1
10.4,992,2.2
13.0,1084,2.5
14.0,1117,2.2
6.9,853,1.9
10.7,1004,2.5
9.5,958,3.9
16.8,1205,2.9
5.7,798,1.6
19.3,1276,3.4
6.1,817,1.3
2.8,639,0.9
2.9,646,1.0
15.4,1162,3.1
15.3,1159,3.1
13.1,1087,2.5
2.8,642,0.7
5.7,798,1.4
14.9,1146,2.5
8.5,919,2.4
8.7,927,1.7
30.9,1573,6.3
33.1,1622,8.5
2.9,643,0.9
4.5,736,1.3
36.7,1701,8.1
2.2,597,0.4
25.2,1435,4.4
17.7,1230,2.9
8.1,905,1.0
11.9,1045,3.0
18.0,1239,3.3
9.3,951,2.0
15.9,1177,3.9
8.6,923,1.6
7.1,860,1.2
8.5,920,1.4
9.4,955,2.0
13.3,1094,3.1
28.9,1525,4.8
24.7,1421,5.6
10.0,979,1.7
21.7,1342,4.4
7.6,884,2.1
0.7,468,0.3
3.9,708,1.1
9.7,965,1.8
6.0,812,0.8
7.5,878,0.8
4.6,741,1.7
8.5,919,3.9
5.2,773,1.6
9.3,952,2.5
6.5,836,1.1
3.2,667,0.5
1.5,546,0.6
16.4,1192,3.2
5.0,762,1.6
18.6,1256,4.9
13.1,1088,1.4
15.7,1171,2.6
7.7,886,1.4
4.0,713,0.8
1.6,554,0.6
9.7,966,2.4
20.4,1307,6.1
1.4,533,0.2
11.6,1034,2.3
18.6,1256,2.9
13.6,1103,2.4
8.5,919,1.9
19.1,1272,3.7
23.3,1386,4.8
8.8,930,2.2
14.8,1142,3.2
2.1,589,0.5
5.3,779,1.3
19.3,1278,3.0
3.4,678,1.0
3.0,650,0.7
2.6,628,0.7
12.5,1066,1.9
18.9,1265,2.7
11.5,1031,4.0
17.7,1230,3.3
7.0,859,1.6
17.5,1225,2.6
8.5,919,1.4
14.2,1123,2.9
3.0,650,0.5
14.7,1139,3.1
9.3,952,2.3
7.3,870,1.8
10.9,1013,2.2
1.7,559,0.6
11.9,1045,2.2
23.3,1385,4.2
0.7,464,0.3
3.3,673,0.9
10.4,993,2.2
11.1,1017,2.2
1.8,572,0.8
17.3,1220,3.2
13.1,1088,2.9
8.1,903,1.5
3.4,678,1.2
11.4,1027,2.4
2.7,632,0.7
11.0,1014,2.6
10.5,997,2.4
19.0,1269,5.3
16.0,1181,2.7
8.5,919,2.8
8.5,919,1.2
24.2,1408,4.4
16.2,1185,2.9
15.6,1167,2.6
18.9,1265,4.3
8.1,904,1.8
0.7,465,0.4
22.8,1374,3.8
25.3,1437,4.9
8.4,916,1.5
5.2,771,1.7
5.2,774,1.0
9.3,951,2.4
43.0,1831,8.6
11.3,1026,2.0
3.2,666,1.4
5.9,805,1.1
6.4,829,1.5
8.5,919,1.6
16.0,1181,2.5
10.4,994,2.0
10.3,987,2.6
8.5,919,1.4
29.2,1533,6.8
6.9,854,1.8
8.6,922,2.2
13.2,1089,2.6
6.0,810,1.4
1.6,556,0.5
7.6,881,0.7
8.5,920,2.0
4.5,740,0.3
12.6,1069,3.5
3.3,673,0.8
11.0,1015,2.2
11.9,1047,2.4
8.7,928,1.1
7.1,863,1.6
1.7,558,0.5
9.8,970,1.7
11.9,1047,2.2
14.6,1137,2.4
2.6,629,1.0
3.9,705,1.2
7.6,883,1.5
10.2,985,1.5
14.1,1121,2.6
3.8,700,2.4
12.3,1061,2.7
17.3,1219,3.1
23.5,1392,5.3
1.2,522,0.5
2.9,643,0.7
9.8,969,2.3
19.3,1276,3.4
9.2,946,2.1
9.9,975,2.3
8.3,912,2.2
3.0,654,0.8
5.4,785,1.3
10.9,1012,2.0
26.5,1466,4.7
0.3,417,0.4
12.7,1072,2.6
9.2,948,2.6
12.3,1061,2.7
5.8,803,0.9
21.0,1325,4.5
7.4,874,2.0
3.3,671,0.7
13.0,1084,2.5
21.5,1339,3.3
33.7,1636,6.2
15.7,1171,2.7
5.8,804,1.8
7.1,863,1.8
11.4,1029,2.1
5.9,808,1.3
16.2,1185,2.4
7.9,895,1.6
23.8,1398,4.0
16.9,1208,6.1
9.4,954,2.0
8.1,901,2.1
26.3,1463,5.2
16.2,1186,3.5
6.1,816,1.7
6.9,851,1.2
6.8,850,2.9
3.6,686,0.3
